,Country,Result
0,Albania,working
1,Algeria,working
2,Angola,working
3,Argentina,working
4,Armenia,working
5,Australia,working
6,Austria,working
7,Azerbaijan,working
8,Bahamas,error
9,Bahrain,working
10,Bangladesh,working
11,Belarus,working
12,Belgium,working
13,Botswana,working
14,Brazil,working
15,Bulgaria,working
16,Burkina Faso,working
17,Burundi,working
18,Cameroon,working
19,Canada,working
20,Central African Republic,error
21,Chile,working
22,Colombia,working
23,Croatia,working
24,Denmark,working
25,Dominican Republic,working
26,Ecuador,working
27,Egypt,working
28,El Salvador,working
29,Eritrea,working
30,Estonia,working
31,Finland,working
32,France,working
33,Germany,working
34,Ghana,working
35,Greece,working
36,Guatemala,working
37,Guinea,working
38,Guyana,working
39,Haiti,working
40,Honduras,working
41,Hungary,working
42,India,working
43,Indonesia,working
44,Iraq,working
45,Ireland,working
46,Italy,working
47,Jamaica,working
48,Japan,working
49,Kazakhstan,working
50,Kenya,working
51,Latvia,working
52,Lebanon,working
53,Lesotho,working
54,Libya,working
55,Lithuania,working
56,Madagascar,working
57,Malawi,working
58,Malaysia,working
59,Mali,working
60,Mauritania,working
61,Mauritius,working
62,Mexico,working
63,Montenegro,working
64,Morocco,working
65,Mozambique,working
66,Namibia,working
67,Nepal,working
68,Netherlands,working
69,New Zealand,working
70,Nicaragua,working
71,Niger,working
72,Norway,working
73,Pakistan,working
74,Papua New Guinea,working
75,Peru,working
76,Poland,working
77,Portugal,working
78,Qatar,working
79,Romania,working
80,Rwanda,working
81,Saudi Arabia,working
82,Senegal,working
83,Slovenia,working
84,South Africa,working
85,Spain,working
86,Sri Lanka,working
87,Sudan,working
88,Suriname,working
89,Sweden,working
90,Switzerland,working
91,Tajikistan,working
92,Thailand,working
93,Tunisia,working
94,Turkey,working
95,Uganda,working
96,Ukraine,working
97,United Kingdom,working
98,Uruguay,working
99,Zambia,working
100,Zimbabwe,working
